,base_market,quote_market,hedge_ratio,half_life
0,AAVE-USD,MATIC-USD,69.52408567006029,18.0
1,ZEC-USD,CELO-USD,80.56514130500568,7.0
2,ALGO-USD,ATOM-USD,0.018332297595346984,13.0
3,ALGO-USD,LTC-USD,0.00247334379486813,11.0
4,ETH-USD,CELO-USD,2497.215978573153,12.0
5,UMA-USD,1INCH-USD,3.9318126292758993,8.0
6,UMA-USD,LINK-USD,0.26888283809253477,8.0
7,UMA-USD,DOGE-USD,21.361145326599374,8.0
8,UMA-USD,ZRX-USD,9.800866181829061,14.0
9,UMA-USD,MATIC-USD,1.958450300589958,16.0
10,UMA-USD,BCH-USD,0.015443839014438342,12.0
11,UMA-USD,RUNE-USD,1.1505081269231725,16.0
12,1INCH-USD,XTZ-USD,0.5163789544365207,21.0
13,1INCH-USD,YFI-USD,7.336296929276459e-05,9.0
14,1INCH-USD,MATIC-USD,0.49807602804418594,10.0
15,1INCH-USD,XLM-USD,5.337457780443872,5.0
16,1INCH-USD,RUNE-USD,0.29256675089942125,16.0
17,ADA-USD,SNX-USD,0.17116516399091028,10.0
18,SNX-USD,CELO-USD,3.1155619963336227,20.0
19,SNX-USD,COMP-USD,0.047118588534394254,20.0
20,SUSHI-USD,COMP-USD,0.030096329426814672,15.0
21,CELO-USD,DOT-USD,0.10909644948305838,8.0
22,CELO-USD,UNI-USD,0.09289130656675419,10.0
23,CELO-USD,XLM-USD,6.65768388609748,13.0
24,ATOM-USD,LTC-USD,0.13489263546139088,11.0
25,XTZ-USD,ZRX-USD,4.82567585881061,9.0
26,XTZ-USD,RUNE-USD,0.5664616726893396,13.0
27,LINK-USD,ZRX-USD,36.448332226771996,15.0
28,COMP-USD,DOT-USD,7.215442093139923,12.0
29,YFI-USD,MATIC-USD,6788.46912711299,8.0
30,YFI-USD,RUNE-USD,3987.8340559133753,9.0
31,ZRX-USD,RUNE-USD,0.11737303021353765,9.0
32,MATIC-USD,BCH-USD,0.007884790805528268,12.0
33,MATIC-USD,XLM-USD,10.714783414365053,14.0
34,BCH-USD,AVAX-USD,8.723189183736885,17.0
